device,start_datetime,end_datetime,spatical_position,vinegar_bait
5c173ff2,2020-09-09_22-00-00,2020-09-16_12-00-00,row1_post5,Y
5595c586,2020-09-09_22-00-00,2020-09-16_12-00-00,row3_post3,Y
398948ee,2020-09-09_22-00-00,2020-09-16_12-00-00,row4_post4,Y
d9699ed0,2020-09-09_22-00-00,2020-09-16_12-00-00,row4_post3,N
1b74105a,2020-09-09_22-00-00,2020-09-16_12-00-00,row5_post4,N
f8d61a5c,2020-09-16_22-00-00,2020-09-23_12-00-00,row3_post4,N
15e612cd,2020-09-16_22-00-00,2020-09-23_12-00-00,row5_post2,Y
0a5bb6f4,2020-09-16_22-00-00,2020-09-23_12-00-00,row2_post2,N
08038ade,2020-09-16_22-00-00,2020-09-23_12-00-00,row2_post4,Y
f54ac578,2020-09-16_22-00-00,2020-09-23_12-00-00,row1_post6,N
5c173ff2,2020-09-16_22-00-00,2020-09-23_12-00-00,row1_post5,Y
5595c586,2020-09-16_22-00-00,2020-09-23_12-00-00,row3_post3,Y
398948ee,2020-09-16_22-00-00,2020-09-23_12-00-00,row4_post4,Y
d9699ed0,2020-09-16_22-00-00,2020-09-23_12-00-00,row4_post3,N
1b74105a,2020-09-16_22-00-00,2020-09-23_12-00-00,row5_post4,N
f8d61a5c,2020-09-23_22-00-00,2020-09-30_12-00-00,row3_post4,N
15e612cd,2020-09-23_22-00-00,2020-09-30_12-00-00,row5_post2,Y
0a5bb6f4,2020-09-23_22-00-00,2020-09-30_12-00-00,row2_post2,N
08038ade,2020-09-23_22-00-00,2020-09-30_12-00-00,row2_post4,Y
f54ac578,2020-09-23_22-00-00,2020-09-30_12-00-00,row1_post6,N
5c173ff2,2020-09-23_22-00-00,2020-09-30_12-00-00,row1_post5,Y
5595c586,2020-09-23_22-00-00,2020-09-30_12-00-00,row3_post3,Y
398948ee,2020-09-23_22-00-00,2020-09-30_12-00-00,row4_post4,Y
d9699ed0,2020-09-23_22-00-00,2020-09-30_12-00-00,row4_post3,N
1b74105a,2020-09-23_22-00-00,2020-09-30_12-00-00,row5_post4,N
